Distance(m),V(x)(mV)
1.038461538461538396e+02,4.668630021772175454e+00
1.048494983277591928e+02,4.644994882648604495e+00
1.058528428093645459e+02,4.621665654015908231e+00
1.068561872909698991e+02,4.598636819010396337e+00
1.078595317725752238e+02,4.575902963031882820e+00
1.088628762541806054e+02,4.553458773295504081e+00
1.098662207357859302e+02,4.531299038205538920e+00
1.108695652173913118e+02,4.509418646572992628e+00
1.118729096989966365e+02,4.487812586696621864e+00
1.128762541806020181e+02,4.466475945325084851e+00
1.138795986622073428e+02,4.445403906516220971e+00
1.148829431438127244e+02,4.424591750407802948e+00
1.158862876254180492e+02,4.404034851912768112e+00
1.168896321070234308e+02,4.383728679350510582e+00
1.178929765886287555e+02,4.363668793024774395e+00
1.188963210702341371e+02,4.343850843757495639e+00
1.198996655518394618e+02,4.324270571387068607e+00
1.209030100334448434e+02,4.304923803238562385e+00
1.219063545150501682e+02,4.285806452572696656e+00
1.229096989966554929e+02,4.266914517019563036e+00
1.239130434782608745e+02,4.248244077002556018e+00
1.249163879598661993e+02,4.229791294157257298e+00
1.259197324414715808e+02,4.211552409749586445e+00
1.269230769230769056e+02,4.193523743096990053e+00
1.279264214046822872e+02,4.175701689996012433e+00
1.289297658862876119e+02,4.158082721159230388e+00
1.299331103678929935e+02,4.140663380664110882e+00
1.309364548494983183e+02,4.123440284416117763e+00
1.319397993311036998e+02,4.106410118627994876e+00
1.329431438127090246e+02,4.089569638316995714e+00
1.339464882943144062e+02,4.072915665821501996e+00
1.349498327759197309e+02,4.056445089338338583e+00
1.359531772575250557e+02,4.040154861481818571e+00
1.369565217391304373e+02,4.024041997865452025e+00
1.379598662207357620e+02,4.008103575707050226e+00
1.389632107023411436e+02,3.992336732457831161e+00
1.399665551839464683e+02,3.976738664456002326e+00
1.409698996655518499e+02,3.961306625605192977e+00
1.419732441471571747e+02,3.946037926078006297e+00
1.429765886287625563e+02,3.930929931044829573e+00
1.439799331103678810e+02,3.915980059428063154e+00
1.449832775919732626e+02,3.901185782681717562e+00
1.459866220735785873e+02,3.886544623596384973e+00
1.469899665551839689e+02,3.872054155129475816e+00
1.479933110367892937e+02,3.857711999260566405e+00
1.489966555183946753e+02,3.843515825871668401e+00
1.500000000000000000e+02,3.829463351652194536e+00
